iucn_sid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
16721842,Wattsia mossambica,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Wattsia,Mozambique Large-eye Bream,"(Smith, 1957)",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,100,290,NA,NA,NA,NA
16749737,Heteropriacanthus cruentatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,PRIACANTHIDAE,Heteropriacanthus,Glasseye Snapper,"(Lacepède, 1801)",2015,2013-01-29,LC,NA,Unknown,TRUE,FALSE,FALSE,"Dooley, J., Collette, B., Aiken, K.A., Marechal, J., Pina Amargos, F. & Singh-Renton, S.","Cox, N.A.",NA,NA,NA,NA,3,300,TRUE,This errata assessment has been created because the map was accidentally left out of the version published previously.,NA,NA
16781113,Fistularia petimba,ANIMALIA,CHORDATA,ACTINOPTERYGII,GASTEROSTEIFORMES,FISTULARIIDAE,Fistularia,Red Cornetfish,"Lacepède, 1803",2015,2013-01-29,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Robertson, R. & Munroe, T.","Strongin, K., Polidoro, B. & Pollom, R.",NA,NA,NA,NA,10,200,TRUE,This errata assessment has been created because the map was accidentally left out of the version published previously.,NA,NA
18123960,Anoplogaster cornuta,ANIMALIA,CHORDATA,ACTINOPTERYGII,BERYCIFORMES,ANOPLOGASTRIDAE,Anoplogaster,Common Fangtooth,"(Valenciennes, 1833)",2015,2013-05-14,LC,NA,Unknown,TRUE,FALSE,FALSE,"Iwamoto, T.","Weller, S., Strongin, K., Polidoro, B. & Carpenter, K.E.",NA,NA,NA,NA,75,5000,NA,NA,NA,NA
18124015,Diretmus argenteus,ANIMALIA,CHORDATA,ACTINOPTERYGII,BERYCIFORMES,DIRETMIDAE,Diretmus,Silver Spinyfin,"Johnson, 1864",2015,2013-05-28,LC,NA,Unknown,TRUE,FALSE,FALSE,"Iwamoto, T.","Weller, S., Carpenter, K.E., Polidoro, B. & Strongin, K.",NA,NA,NA,NA,50,2000,NA,NA,NA,NA
18124163,Sargocentron praslin,ANIMALIA,CHORDATA,ACTINOPTERYGII,BERYCIFORMES,HOLOCENTRIDAE,Sargocentron,Dark-striped Squirrelfish,"(Lacepède, 1802)",2016,2015-03-04,LC,NA,Unknown,TRUE,FALSE,FALSE,"Williams, I. & Greenfield, D.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,1,20,TRUE,This errata assessment has been created because the map was accidentally left out of the version published previously.,NA,NA
18124179,Sargocentron rubrum,ANIMALIA,CHORDATA,ACTINOPTERYGII,BERYCIFORMES,HOLOCENTRIDAE,Sargocentron,Redcoat,"(Forsskål, 1775)",2016,2015-03-04,LC,NA,Stable,TRUE,FALSE,FALSE,"Williams, I. & Greenfield, D.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,1,84,TRUE,This errata assessment has been created because the map was accidentally left out of the version published previously.,NA,NA
18124738,Dussumieria elopsoides,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,Dussumieria,Slender Rainbow Sardine,Bleeker 1849,2017,2017-03-01,LC,NA,Unknown,TRUE,FALSE,FALSE,"Santos, M., Hata, H., Villarao, M.C., Tambihasan, A.M., Lopez, G., Gatlabayan, L.V., Doyola, M.C., Buccat, F.G.A., Alcantara, M., Belga, P.B., Deligero, R., Gapuz, A.V., Lanzuela, N., Parido, L. & Villanueva, J.A.","Birge, T.L.",NA,NA,NA,NA,0,50,NA,NA,NA,NA
18127741,Ceratias holboelli,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,CERATIIDAE,Ceratias,Deepsea Angler,"Krøyer, 1845",2015,2013-05-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Munroe, T., Costa, M., Kobyliansky, S. & Arnold, R.","Weller, S., Strongin, K., Polidoro, B. & Carpenter, K.E.",NA,NA,NA,NA,150,3400,NA,NA,NA,NA
18127840,Melanocetus johnsonii,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,MELANOCETIDAE,Melanocetus,Humpback Anglerfish,"Günther, 1864",2015,2013-05-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Arnold, R.","Strongin, K., Polidoro, B. & Carpenter, K.E.",NA,NA,NA,NA,0,2700,NA,NA,NA,NA
