iucn_sid,eez_km2,nms_km2,terr_km2
177991,4100,0,3900
177993,4100,0,3900
177994,4100,0,3900
177995,4100,0,3900
178002,4100,0,3900
178005,4100,0,3900
178008,4100,0,3900
178010,4100,0,3900
178012,4100,0,3900
178013,4000,0,3800
178014,4100,0,3900
178015,3800,0,3600
178017,4100,0,3900
178019,4100,0,3900
178022,4100,0,3900
178800,3100,0,2900
178803,3100,0,2900
178804,3100,0,2900
178817,3100,0,2900
178822,3100,0,2900
178825,3100,0,2900
178830,3100,0,2900
178832,3100,0,2900
178838,3100,0,2900
178842,3100,0,2900
178845,3100,0,2900
178850,3100,0,2900
178852,3100,0,2900
178854,3100,0,2900
178889,3800,0,3600
178892,4100,0,3900
178894,3800,0,3600
178932,4100,0,3900
178950,3800,0,3600
179001,4100,0,3900
179062,3800,0,3600
179074,4100,0,3900
179085,4100,0,3900
179093,4000,0,3800
179109,3800,0,3600
179112,3900,0,3700
180226,136700,91900,24100
180231,4100,0,3900
180235,4100,0,3900
180236,136700,91900,24100
180248,4100,0,3900
180257,4100,0,3900
180265,136700,91900,24100
180275,4100,0,3900
180285,4100,0,3900
180286,4100,0,3900
180324,4100,0,3900
180337,136700,91900,24100
180347,73700,62000,11700
180352,4100,0,3900
180367,4100,0,3900
180375,4100,0,3900
180386,4100,0,3900
180395,4100,0,3900
180406,3800,0,3600
180420,63000,29900,12400
180421,4100,0,3900
180437,4100,0,3900
180440,4100,0,3900
180443,4100,0,3900
180446,63000,29900,12400
180477,4100,0,3900
180479,4100,0,3900
180481,4100,0,3900
180483,4100,0,3900
180488,4100,0,3900
180494,4100,0,3900
180512,4100,0,3900
180518,4100,0,3900
180525,4100,0,3900
180534,4100,0,3900
180541,4100,0,3900
180544,3800,0,3600
180545,3800,0,3600
181116,600,0,600
183158,4100,0,3900
183274,4100,0,3900
184990,230300,141200,11000
185000,100,100,0
185012,61900,61900,0
185024,100,0,100
185026,179400,131500,24200
185029,104300,92700,11600
185032,100,0,100
185038,19500,19500,0
185079,31700,31700,0
185933,136300,91600,24100
186087,4100,0,3900
186088,4100,0,3900
186090,4100,0,3900
187368,4100,0,3900
187373,4100,0,3900
187381,4100,0,3900
187382,4100,0,3900
187383,4100,0,3900
187384,4100,0,3900
187389,4000,0,3800
187395,4100,0,3900
187396,4100,0,3900
187407,4100,0,3900
187415,3800,0,3600
187417,3800,0,3600
187423,4100,0,3900
187424,4100,0,3900
187431,4100,0,3900
187436,136700,91900,24100
187438,63000,29900,12400
187441,4100,0,3900
187443,4100,0,3900
187445,63000,29900,12400
187450,3800,0,3600
187452,3800,0,3600
187454,4100,0,3900
187461,3800,0,3600
187466,4100,0,3900
187474,4100,0,3900
187476,4100,0,3900
187477,4100,0,3900
187478,4100,0,3900
187489,4100,0,3900
187490,4100,0,3900
187497,136700,91900,24100
187505,3800,0,3600
187507,136700,91900,24100
187511,100,0,100
187514,3800,0,3600
187516,136700,91900,24100
187517,3800,0,3600
187523,4100,0,3900
187525,105400,67400,17300
187527,3800,0,3600
187530,3900,0,3700
187536,4100,0,3900
187538,3800,0,3600
187544,3800,0,3600
187547,4100,0,3900
187554,63000,29900,12400
187556,3800,0,3600
187559,4100,0,3900
187564,4100,0,3900
187565,4100,0,3900
187575,4100,0,3900
187578,3800,0,3600
187594,3800,0,3600
187604,3800,0,3600
187609,3800,0,3600
187610,4100,0,3900
187621,4100,0,3900
187622,4100,0,3900
187624,3800,0,3600
187625,3800,0,3600
187626,3800,0,3600
187631,4100,0,3900
187638,4100,0,3900
187642,3800,0,3600
187646,136700,91900,24100
187649,4100,0,3900
187658,4100,0,3900
187673,136700,91900,24100
187674,136700,91900,24100
187677,4100,0,3900
187681,3800,0,3600
187685,4100,0,3900
187688,3800,0,3600
187689,63000,29900,12400
187690,63000,29900,12400
187692,4100,0,3900
187697,3800,0,3600
187698,4100,0,3900
187699,4100,0,3900
187700,3800,0,3600
187702,63000,29900,12400
187705,4100,0,3900
187707,4100,0,3900
187710,3800,0,3600
187713,4100,0,3900
187715,4100,0,3900
187716,4100,0,3900
187718,3800,0,3600
187721,3800,0,3600
187722,4100,0,3900
187723,4100,0,3900
187728,63000,29900,12400
187733,4100,0,3900
187739,4100,0,3900
